Name,fracsize,Delta
../instances/32_1/ad_grb_00023.log.npz,106,8
../instances/32_1/ad_grb_00024.log.npz,280,64
../instances/32_1/ad_grb_00025.log.npz,280,32
../instances/32_1/ad_grb_00026.log.npz,280,16
../instances/32_1/ad_grb_00027.log.npz,110,64
../instances/32_1/ad_grb_00028.log.npz,110,32
../instances/32_1/ad_grb_00029.log.npz,110,16
../instances/32_1/ad_grb_00030.log.npz,110,8
../instances/32_1/ad_grb_00031.log.npz,110,4
../instances/32_1/ad_grb_00032.log.npz,110,2
../instances/32_1/ad_grb_00033.log.npz,110,1
../instances/32_2/ad_grb_00000.log.npz,215,64
../instances/32_2/ad_grb_00001.log.npz,163,64
../instances/32_2/ad_grb_00002.log.npz,131,64
../instances/32_2/ad_grb_00003.log.npz,90,64
../instances/32_2/ad_grb_00004.log.npz,90,32
../instances/32_2/ad_grb_00005.log.npz,224,64
../instances/32_2/ad_grb_00006.log.npz,224,32
../instances/32_2/ad_grb_00007.log.npz,11,64
../instances/32_2/ad_grb_00008.log.npz,100,64
../instances/32_2/ad_grb_00009.log.npz,100,32
../instances/32_2/ad_grb_00010.log.npz,250,64
../instances/32_2/ad_grb_00011.log.npz,250,32
../instances/32_2/ad_grb_00012.log.npz,250,16
../instances/32_2/ad_grb_00013.log.npz,240,64
../instances/32_2/ad_grb_00014.log.npz,240,32
../instances/32_2/ad_grb_00015.log.npz,240,16
../instances/32_2/ad_grb_00016.log.npz,240,8
../instances/32_2/ad_grb_00017.log.npz,240,4
../instances/32_2/ad_grb_00018.log.npz,238,64
../instances/32_2/ad_grb_00019.log.npz,238,32
../instances/32_2/ad_grb_00020.log.npz,238,16
../instances/32_2/ad_grb_00021.log.npz,238,8
../instances/32_2/ad_grb_00022.log.npz,238,4
../instances/32_2/ad_grb_00023.log.npz,238,2
../instances/32_3/ad_grb_00000.log.npz,365,64
../instances/32_3/ad_grb_00001.log.npz,369,64
../instances/32_3/ad_grb_00002.log.npz,551,64
../instances/32_3/ad_grb_00003.log.npz,192,64
../instances/32_3/ad_grb_00004.log.npz,525,64
../instances/32_3/ad_grb_00005.log.npz,194,64
../instances/32_3/ad_grb_00006.log.npz,194,32
../instances/32_3/ad_grb_00007.log.npz,522,64
../instances/32_3/ad_grb_00008.log.npz,225,64
../instances/32_3/ad_grb_00009.log.npz,225,32
../instances/32_3/ad_grb_00010.log.npz,535,64
../instances/32_3/ad_grb_00011.log.npz,739,64
../instances/32_3/ad_grb_00012.log.npz,701,64
../instances/32_3/ad_grb_00013.log.npz,701,32
../instances/32_3/ad_grb_00014.log.npz,701,16
../instances/32_4/ad_grb_00000.log.npz,450,64
