Name,fracsize,Delta
../instances/32_0/ad_grb_00000.log.npz,89,64
../instances/32_0/ad_grb_00001.log.npz,73,64
../instances/32_0/ad_grb_00002.log.npz,0,64
../instances/32_0/ad_grb_00003.log.npz,9,64
../instances/32_0/ad_grb_00004.log.npz,14,64
../instances/32_0/ad_grb_00005.log.npz,39,32
../instances/32_0/ad_grb_00006.log.npz,0,64
../instances/32_0/ad_grb_00007.log.npz,7,64
../instances/32_0/ad_grb_00008.log.npz,7,32
../instances/32_0/ad_grb_00009.log.npz,142,64
../instances/32_0/ad_grb_00010.log.npz,142,32
../instances/32_0/ad_grb_00011.log.npz,80,64
../instances/32_0/ad_grb_00012.log.npz,10,32
../instances/32_0/ad_grb_00013.log.npz,8,16
../instances/32_0/ad_grb_00014.log.npz,44,64
../instances/32_0/ad_grb_00015.log.npz,12,64
../instances/32_0/ad_grb_00016.log.npz,12,32
../instances/32_0/ad_grb_00017.log.npz,12,16
../instances/32_0/ad_grb_00018.log.npz,162,64
../instances/32_0/ad_grb_00019.log.npz,162,32
../instances/32_0/ad_grb_00020.log.npz,162,16
../instances/32_0/ad_grb_00021.log.npz,162,8
../instances/32_0/ad_grb_00022.log.npz,108,64
../instances/32_0/ad_grb_00023.log.npz,143,64
../instances/32_0/ad_grb_00024.log.npz,143,32
../instances/32_0/ad_grb_00025.log.npz,143,16
../instances/32_0/ad_grb_00026.log.npz,224,64
../instances/32_0/ad_grb_00027.log.npz,224,32
../instances/32_0/ad_grb_00028.log.npz,224,16
../instances/32_0/ad_grb_00029.log.npz,224,8
../instances/32_0/ad_grb_00030.log.npz,129,64
../instances/32_0/ad_grb_00031.log.npz,129,32
../instances/32_0/ad_grb_00032.log.npz,129,16
../instances/32_0/ad_grb_00033.log.npz,129,8
../instances/32_0/ad_grb_00034.log.npz,132,64
../instances/32_0/ad_grb_00035.log.npz,132,32
../instances/32_0/ad_grb_00036.log.npz,132,16
../instances/32_0/ad_grb_00037.log.npz,132,8
../instances/32_0/ad_grb_00038.log.npz,132,4
../instances/32_0/ad_grb_00039.log.npz,132,2
../instances/32_1/ad_grb_00000.log.npz,170,64
../instances/32_1/ad_grb_00001.log.npz,96,64
../instances/32_1/ad_grb_00002.log.npz,79,64
../instances/32_1/ad_grb_00003.log.npz,0,64
../instances/32_1/ad_grb_00004.log.npz,59,64
../instances/32_1/ad_grb_00005.log.npz,52,64
../instances/32_1/ad_grb_00006.log.npz,113,64
../instances/32_1/ad_grb_00007.log.npz,113,32
../instances/32_1/ad_grb_00008.log.npz,113,16
../instances/32_1/ad_grb_00009.log.npz,66,64
../instances/32_1/ad_grb_00010.log.npz,11,64
../instances/32_1/ad_grb_00011.log.npz,11,32
../instances/32_1/ad_grb_00012.log.npz,293,64
../instances/32_1/ad_grb_00013.log.npz,293,32
../instances/32_1/ad_grb_00014.log.npz,108,64
../instances/32_1/ad_grb_00015.log.npz,108,32
../instances/32_1/ad_grb_00016.log.npz,108,16
../instances/32_1/ad_grb_00017.log.npz,108,8
../instances/32_1/ad_grb_00018.log.npz,108,4
../instances/32_1/ad_grb_00019.log.npz,108,2
../instances/32_1/ad_grb_00020.log.npz,106,64
../instances/32_1/ad_grb_00021.log.npz,106,32
../instances/32_1/ad_grb_00022.log.npz,106,16
