Name,fracsize,Delta
../instances/64_1/ad_grb_00017.log.npz,1913,256
../instances/64_1/ad_grb_00018.log.npz,749,256
../instances/64_1/ad_grb_00019.log.npz,749,128
../instances/64_1/ad_grb_00020.log.npz,1164,256
../instances/64_1/ad_grb_00021.log.npz,1164,128
../instances/64_1/ad_grb_00022.log.npz,1164,64
../instances/64_1/ad_grb_00023.log.npz,685,256
../instances/64_1/ad_grb_00024.log.npz,685,128
../instances/64_1/ad_grb_00025.log.npz,630,256
../instances/64_1/ad_grb_00026.log.npz,630,128
../instances/64_1/ad_grb_00027.log.npz,630,64
../instances/64_1/ad_grb_00028.log.npz,630,32
../instances/64_1/ad_grb_00029.log.npz,1030,256
../instances/64_1/ad_grb_00030.log.npz,1030,128
../instances/64_1/ad_grb_00031.log.npz,1030,64
../instances/64_1/ad_grb_00032.log.npz,1030,32
../instances/64_1/ad_grb_00033.log.npz,651,256
../instances/64_1/ad_grb_00034.log.npz,651,128
../instances/64_1/ad_grb_00035.log.npz,651,64
../instances/64_1/ad_grb_00036.log.npz,651,32
../instances/64_1/ad_grb_00037.log.npz,651,16
../instances/64_2/ad_grb_00000.log.npz,859,256
../instances/64_2/ad_grb_00001.log.npz,720,256
../instances/64_2/ad_grb_00002.log.npz,555,256
../instances/64_2/ad_grb_00003.log.npz,336,256
../instances/64_2/ad_grb_00004.log.npz,1024,256
../instances/64_2/ad_grb_00005.log.npz,0,256
../instances/64_2/ad_grb_00006.log.npz,156,128
../instances/64_2/ad_grb_00007.log.npz,418,256
../instances/64_2/ad_grb_00008.log.npz,418,128
../instances/64_2/ad_grb_00009.log.npz,376,256
../instances/64_2/ad_grb_00010.log.npz,376,128
../instances/64_2/ad_grb_00011.log.npz,1034,256
../instances/64_2/ad_grb_00012.log.npz,1034,128
../instances/64_2/ad_grb_00013.log.npz,376,256
../instances/64_2/ad_grb_00014.log.npz,376,128
../instances/64_2/ad_grb_00015.log.npz,376,64
../instances/64_2/ad_grb_00016.log.npz,336,256
../instances/64_2/ad_grb_00017.log.npz,336,128
../instances/64_2/ad_grb_00018.log.npz,336,64
../instances/64_2/ad_grb_00019.log.npz,336,32
../instances/64_2/ad_grb_00020.log.npz,367,256
../instances/64_2/ad_grb_00021.log.npz,367,128
../instances/64_2/ad_grb_00022.log.npz,367,64
../instances/64_2/ad_grb_00023.log.npz,367,32
../instances/64_2/ad_grb_00024.log.npz,335,256
../instances/64_2/ad_grb_00025.log.npz,335,128
../instances/64_2/ad_grb_00026.log.npz,335,64
../instances/64_2/ad_grb_00027.log.npz,335,32
../instances/64_2/ad_grb_00028.log.npz,340,256
../instances/64_2/ad_grb_00029.log.npz,340,128
../instances/64_2/ad_grb_00030.log.npz,340,64
