Name,fracsize,Delta
../instances/96_1/ad_grb_00000.log.npz,1459,576
../instances/96_1/ad_grb_00001.log.npz,883,576
../instances/96_1/ad_grb_00002.log.npz,736,576
../instances/96_1/ad_grb_00003.log.npz,24,576
../instances/96_1/ad_grb_00004.log.npz,711,576
../instances/96_1/ad_grb_00005.log.npz,741,576
../instances/96_1/ad_grb_00006.log.npz,1017,576
../instances/96_1/ad_grb_00007.log.npz,1017,576
../instances/96_1/ad_grb_00008.log.npz,1017,288
../instances/96_1/ad_grb_00009.log.npz,1383,576
../instances/96_1/ad_grb_00010.log.npz,1383,288
../instances/96_1/ad_grb_00011.log.npz,33,576
../instances/96_1/ad_grb_00012.log.npz,33,288
../instances/96_1/ad_grb_00013.log.npz,33,144
../instances/96_1/ad_grb_00014.log.npz,2682,576
../instances/96_1/ad_grb_00015.log.npz,2682,288
../instances/96_1/ad_grb_00016.log.npz,924,576
../instances/96_1/ad_grb_00017.log.npz,924,288
../instances/96_1/ad_grb_00018.log.npz,924,144
../instances/96_1/ad_grb_00019.log.npz,2508,576
../instances/96_1/ad_grb_00020.log.npz,2508,288
../instances/96_1/ad_grb_00021.log.npz,2508,144
../instances/96_1/ad_grb_00022.log.npz,2508,72
../instances/96_1/ad_grb_00023.log.npz,957,576
../instances/96_1/ad_grb_00024.log.npz,957,288
../instances/96_1/ad_grb_00025.log.npz,957,144
../instances/96_1/ad_grb_00026.log.npz,2400,576
../instances/96_1/ad_grb_00027.log.npz,2400,288
../instances/96_1/ad_grb_00028.log.npz,1113,576
../instances/96_1/ad_grb_00029.log.npz,1113,288
../instances/96_1/ad_grb_00030.log.npz,2402,576
../instances/96_1/ad_grb_00031.log.npz,2402,288
../instances/96_1/ad_grb_00032.log.npz,2402,144
../instances/96_1/ad_grb_00033.log.npz,1120,576
../instances/96_1/ad_grb_00034.log.npz,1680,576
../instances/96_1/ad_grb_00035.log.npz,1680,288
../instances/96_1/ad_grb_00036.log.npz,1680,144
../instances/96_1/ad_grb_00037.log.npz,2120,576
../instances/96_1/ad_grb_00038.log.npz,2120,288
../instances/96_1/ad_grb_00039.log.npz,2120,144
../instances/96_1/ad_grb_00040.log.npz,2120,72
../instances/96_1/ad_grb_00041.log.npz,1496,576
../instances/96_1/ad_grb_00042.log.npz,1496,288
../instances/96_1/ad_grb_00043.log.npz,1496,144
../instances/96_1/ad_grb_00044.log.npz,1496,72
../instances/96_1/ad_grb_00045.log.npz,2190,576
../instances/96_1/ad_grb_00046.log.npz,2190,288
../instances/96_1/ad_grb_00047.log.npz,2190,144
../instances/96_1/ad_grb_00048.log.npz,2190,72
../instances/96_1/ad_grb_00049.log.npz,2190,36
../instances/96_1/ad_grb_00050.log.npz,1485,576
../instances/96_1/ad_grb_00051.log.npz,1485,288
../instances/96_1/ad_grb_00052.log.npz,1485,144
../instances/96_1/ad_grb_00053.log.npz,1485,72
../instances/96_1/ad_grb_00054.log.npz,2235,576
../instances/96_1/ad_grb_00055.log.npz,2235,288
../instances/96_1/ad_grb_00056.log.npz,2235,144
../instances/96_1/ad_grb_00057.log.npz,2235,72
../instances/96_1/ad_grb_00058.log.npz,2235,36
../instances/96_1/ad_grb_00059.log.npz,1472,576
../instances/96_1/ad_grb_00060.log.npz,1472,288
../instances/96_1/ad_grb_00061.log.npz,1472,144
../instances/96_1/ad_grb_00062.log.npz,1472,72
../instances/96_1/ad_grb_00063.log.npz,1472,576
../instances/96_1/ad_grb_00064.log.npz,1472,288
../instances/96_1/ad_grb_00065.log.npz,1472,144
../instances/96_1/ad_grb_00066.log.npz,1472,72
../instances/96_1/ad_grb_00067.log.npz,1472,36
../instances/96_1/ad_grb_00068.log.npz,1440,576
../instances/96_1/ad_grb_00069.log.npz,1440,288
../instances/96_1/ad_grb_00070.log.npz,1440,144
../instances/96_1/ad_grb_00071.log.npz,1440,72
../instances/96_1/ad_grb_00072.log.npz,1440,36
../instances/96_1/ad_grb_00073.log.npz,1440,18
../instances/96_2/ad_grb_00000.log.npz,1934,576
../instances/96_2/ad_grb_00001.log.npz,1641,576
../instances/96_2/ad_grb_00002.log.npz,1305,576
../instances/96_2/ad_grb_00003.log.npz,744,576
../instances/96_2/ad_grb_00004.log.npz,2304,576
../instances/96_2/ad_grb_00005.log.npz,2304,288
../instances/96_2/ad_grb_00006.log.npz,976,576
../instances/96_2/ad_grb_00007.log.npz,976,288
../instances/96_2/ad_grb_00008.log.npz,864,576
../instances/96_2/ad_grb_00009.log.npz,864,288
../instances/96_2/ad_grb_00010.log.npz,2385,576
../instances/96_2/ad_grb_00011.log.npz,2385,288
../instances/96_2/ad_grb_00012.log.npz,2385,144
../instances/96_2/ad_grb_00013.log.npz,2160,576
../instances/96_2/ad_grb_00014.log.npz,2160,288
../instances/96_2/ad_grb_00015.log.npz,2160,144
../instances/96_2/ad_grb_00016.log.npz,2160,72
../instances/96_2/ad_grb_00017.log.npz,2160,36
../instances/96_2/ad_grb_00018.log.npz,2262,576
../instances/96_2/ad_grb_00019.log.npz,2262,288
../instances/96_2/ad_grb_00020.log.npz,2262,144
../instances/96_2/ad_grb_00021.log.npz,2262,72
../instances/96_2/ad_grb_00022.log.npz,792,576
../instances/96_2/ad_grb_00023.log.npz,792,288
../instances/96_2/ad_grb_00024.log.npz,792,144
../instances/96_2/ad_grb_00025.log.npz,792,72
../instances/96_2/ad_grb_00026.log.npz,2310,576
../instances/96_2/ad_grb_00027.log.npz,2310,288
../instances/96_2/ad_grb_00028.log.npz,2310,144
../instances/96_2/ad_grb_00029.log.npz,2310,72
../instances/96_2/ad_grb_00030.log.npz,2310,36
../instances/96_2/ad_grb_00031.log.npz,2160,576
../instances/96_2/ad_grb_00032.log.npz,2160,288
../instances/96_2/ad_grb_00033.log.npz,2160,144
../instances/96_2/ad_grb_00034.log.npz,2160,72
../instances/96_2/ad_grb_00035.log.npz,2232,576
../instances/96_2/ad_grb_00036.log.npz,2232,288
../instances/96_2/ad_grb_00037.log.npz,2232,144
../instances/96_2/ad_grb_00038.log.npz,2232,72
../instances/96_2/ad_grb_00039.log.npz,2232,36
../instances/96_2/ad_grb_00040.log.npz,2334,576
../instances/96_2/ad_grb_00041.log.npz,2334,288
../instances/96_2/ad_grb_00042.log.npz,2334,144
../instances/96_2/ad_grb_00043.log.npz,2334,72
../instances/96_2/ad_grb_00044.log.npz,2334,36
../instances/96_2/ad_grb_00045.log.npz,2234,576
../instances/96_2/ad_grb_00046.log.npz,2234,288
../instances/96_2/ad_grb_00047.log.npz,2234,144
../instances/96_2/ad_grb_00048.log.npz,2234,72
../instances/96_2/ad_grb_00049.log.npz,2234,36
../instances/96_2/ad_grb_00050.log.npz,2358,576
../instances/96_2/ad_grb_00051.log.npz,2358,288
../instances/96_2/ad_grb_00052.log.npz,2358,144
../instances/96_2/ad_grb_00053.log.npz,2358,72
../instances/96_2/ad_grb_00054.log.npz,2358,36
../instances/96_2/ad_grb_00055.log.npz,2236,576
../instances/96_2/ad_grb_00056.log.npz,2236,288
../instances/96_2/ad_grb_00057.log.npz,2236,144
../instances/96_2/ad_grb_00058.log.npz,2236,72
../instances/96_2/ad_grb_00059.log.npz,2368,576
../instances/96_2/ad_grb_00060.log.npz,2368,288
../instances/96_2/ad_grb_00061.log.npz,2368,144
../instances/96_2/ad_grb_00062.log.npz,2368,72
../instances/96_2/ad_grb_00063.log.npz,2368,36
../instances/96_2/ad_grb_00064.log.npz,2200,576
../instances/96_2/ad_grb_00065.log.npz,2200,288
../instances/96_2/ad_grb_00066.log.npz,2200,144
../instances/96_2/ad_grb_00067.log.npz,2200,72
../instances/96_2/ad_grb_00068.log.npz,2200,36
../instances/96_2/ad_grb_00069.log.npz,2390,576
../instances/96_2/ad_grb_00070.log.npz,2390,288
../instances/96_2/ad_grb_00071.log.npz,2390,144
../instances/96_2/ad_grb_00072.log.npz,2390,72
../instances/96_2/ad_grb_00073.log.npz,2390,36
../instances/96_2/ad_grb_00074.log.npz,2357,576
../instances/96_2/ad_grb_00075.log.npz,2357,288
../instances/96_2/ad_grb_00076.log.npz,2357,144
../instances/96_2/ad_grb_00077.log.npz,2357,72
../instances/96_2/ad_grb_00078.log.npz,2357,36
../instances/96_2/ad_grb_00079.log.npz,2412,576
../instances/96_2/ad_grb_00080.log.npz,2412,288
