Name,fracsize,Delta
../instances/96_2/ad_grb_00081.log.npz,2412,144
../instances/96_2/ad_grb_00082.log.npz,2412,72
../instances/96_2/ad_grb_00083.log.npz,2412,36
../instances/96_2/ad_grb_00084.log.npz,2378,576
../instances/96_2/ad_grb_00085.log.npz,2378,288
../instances/96_2/ad_grb_00086.log.npz,2378,144
../instances/96_2/ad_grb_00087.log.npz,2378,72
../instances/96_2/ad_grb_00088.log.npz,2460,576
../instances/96_2/ad_grb_00089.log.npz,2460,288
../instances/96_2/ad_grb_00090.log.npz,2460,144
../instances/96_2/ad_grb_00091.log.npz,2460,72
../instances/96_2/ad_grb_00092.log.npz,2420,576
../instances/96_2/ad_grb_00093.log.npz,2420,288
../instances/96_2/ad_grb_00094.log.npz,2420,144
../instances/96_2/ad_grb_00095.log.npz,2420,72
../instances/96_2/ad_grb_00096.log.npz,2493,576
../instances/96_2/ad_grb_00097.log.npz,2493,288
../instances/96_2/ad_grb_00098.log.npz,2493,144
../instances/96_2/ad_grb_00099.log.npz,2493,72
../instances/96_2/ad_grb_00100.log.npz,2493,36
../instances/96_2/ad_grb_00101.log.npz,2456,576
../instances/96_2/ad_grb_00102.log.npz,2456,288
../instances/96_2/ad_grb_00103.log.npz,2456,144
../instances/96_2/ad_grb_00104.log.npz,2456,72
../instances/96_2/ad_grb_00105.log.npz,2523,576
../instances/96_2/ad_grb_00106.log.npz,2523,288
../instances/96_2/ad_grb_00107.log.npz,2523,144
../instances/96_2/ad_grb_00108.log.npz,2523,72
../instances/96_2/ad_grb_00109.log.npz,2523,36
../instances/96_2/ad_grb_00110.log.npz,2486,576
../instances/96_2/ad_grb_00111.log.npz,2486,288
../instances/96_2/ad_grb_00112.log.npz,2486,144
../instances/96_2/ad_grb_00113.log.npz,2486,72
../instances/96_2/ad_grb_00114.log.npz,2553,576
../instances/96_2/ad_grb_00115.log.npz,2553,288
../instances/96_2/ad_grb_00116.log.npz,2553,144
../instances/96_2/ad_grb_00117.log.npz,2553,72
../instances/96_2/ad_grb_00118.log.npz,2516,576
../instances/96_2/ad_grb_00119.log.npz,2516,288
../instances/96_2/ad_grb_00120.log.npz,2516,144
../instances/96_2/ad_grb_00121.log.npz,2516,72
../instances/96_2/ad_grb_00122.log.npz,2583,576
../instances/96_2/ad_grb_00123.log.npz,2583,288
../instances/96_2/ad_grb_00124.log.npz,2583,144
../instances/96_2/ad_grb_00125.log.npz,2583,72
../instances/96_2/ad_grb_00126.log.npz,2546,576
../instances/96_2/ad_grb_00127.log.npz,2546,288
../instances/96_2/ad_grb_00128.log.npz,2546,144
../instances/96_2/ad_grb_00129.log.npz,2546,72
../instances/96_2/ad_grb_00130.log.npz,2636,576
../instances/96_2/ad_grb_00131.log.npz,2636,288
../instances/96_2/ad_grb_00132.log.npz,2636,144
../instances/96_2/ad_grb_00133.log.npz,2636,72
../instances/96_2/ad_grb_00134.log.npz,2636,36
../instances/96_2/ad_grb_00135.log.npz,2597,576
../instances/96_2/ad_grb_00136.log.npz,2597,288
../instances/96_2/ad_grb_00137.log.npz,2598,576
../instances/96_2/ad_grb_00138.log.npz,2523,576
../instances/96_2/ad_grb_00139.log.npz,2523,288
../instances/96_2/ad_grb_00140.log.npz,2762,576
../instances/96_2/ad_grb_00141.log.npz,2762,288
../instances/96_2/ad_grb_00142.log.npz,2762,144
../instances/96_2/ad_grb_00143.log.npz,2748,576
../instances/96_2/ad_grb_00144.log.npz,2748,288
../instances/96_2/ad_grb_00145.log.npz,2748,144
../instances/96_2/ad_grb_00146.log.npz,2748,72
../instances/96_2/ad_grb_00147.log.npz,2834,576
../instances/96_2/ad_grb_00148.log.npz,2834,288
../instances/96_2/ad_grb_00149.log.npz,2834,144
../instances/96_2/ad_grb_00150.log.npz,2834,72
../instances/96_2/ad_grb_00151.log.npz,2834,36
../instances/96_2/ad_grb_00152.log.npz,2795,576
../instances/96_2/ad_grb_00153.log.npz,2795,288
../instances/96_2/ad_grb_00154.log.npz,2795,144
../instances/96_2/ad_grb_00155.log.npz,2795,72
../instances/96_2/ad_grb_00156.log.npz,2743,576
../instances/96_2/ad_grb_00157.log.npz,2743,288
../instances/96_2/ad_grb_00158.log.npz,2743,144
../instances/96_2/ad_grb_00159.log.npz,2743,72
../instances/96_2/ad_grb_00160.log.npz,2786,576
../instances/96_2/ad_grb_00161.log.npz,2786,288
../instances/96_2/ad_grb_00162.log.npz,2786,144
../instances/96_2/ad_grb_00163.log.npz,2724,576
../instances/96_2/ad_grb_00164.log.npz,2724,288
../instances/96_2/ad_grb_00165.log.npz,2724,144
../instances/96_2/ad_grb_00166.log.npz,2724,72
../instances/96_2/ad_grb_00167.log.npz,2724,36
../instances/96_2/ad_grb_00168.log.npz,2724,18
../instances/96_2/ad_grb_00169.log.npz,2724,9
../instances/96_2/ad_grb_00170.log.npz,2724,4
../instances/96_2/ad_grb_00171.log.npz,2724,2
../instances/96_2/ad_grb_00172.log.npz,2724,1
../instances/96_3/ad_grb_00000.log.npz,3372,576
../instances/96_3/ad_grb_00001.log.npz,3310,576
../instances/96_3/ad_grb_00002.log.npz,4738,576
../instances/96_3/ad_grb_00003.log.npz,1728,576
../instances/96_3/ad_grb_00004.log.npz,1728,288
../instances/96_3/ad_grb_00005.log.npz,4464,576
../instances/96_3/ad_grb_00006.log.npz,2016,576
../instances/96_3/ad_grb_00007.log.npz,4824,576
../instances/96_3/ad_grb_00008.log.npz,4824,288
../instances/96_3/ad_grb_00009.log.npz,1720,576
../instances/96_3/ad_grb_00010.log.npz,1720,288
../instances/96_3/ad_grb_00011.log.npz,1720,144
../instances/96_3/ad_grb_00012.log.npz,4832,576
../instances/96_3/ad_grb_00013.log.npz,5952,576
../instances/96_3/ad_grb_00014.log.npz,4960,576
../instances/96_3/ad_grb_00015.log.npz,6416,576
../instances/96_3/ad_grb_00016.log.npz,6416,288
../instances/96_3/ad_grb_00017.log.npz,6416,144
../instances/96_3/ad_grb_00018.log.npz,6516,576
../instances/96_3/ad_grb_00019.log.npz,6516,288
../instances/96_3/ad_grb_00020.log.npz,6516,144
../instances/96_3/ad_grb_00021.log.npz,6516,72
../instances/96_3/ad_grb_00022.log.npz,6466,576
../instances/96_3/ad_grb_00023.log.npz,6466,288
../instances/96_3/ad_grb_00024.log.npz,6466,144
../instances/96_3/ad_grb_00025.log.npz,6576,576
../instances/96_3/ad_grb_00026.log.npz,6576,288
../instances/96_3/ad_grb_00027.log.npz,6576,144
../instances/96_3/ad_grb_00028.log.npz,6576,72
../instances/96_3/ad_grb_00029.log.npz,6576,36
../instances/96_3/ad_grb_00030.log.npz,6576,18
../instances/96_3/ad_grb_00031.log.npz,6576,9
../instances/96_3/ad_grb_00032.log.npz,6576,4
../instances/96_3/ad_grb_00033.log.npz,6576,2
../instances/96_3/ad_grb_00034.log.npz,6576,1
